"Demog" "lCI" "Median" "uCI"
"1997" "fec3" "0.0645840868120636" "0.150751115851232" "0.311507844221943"
"1998" "fec3" "0.145672350856974" "0.283419193860673" "0.52668047941911"
"1999" "fec3" "0.0902585340367605" "0.182380778639072" "0.371174680498802"
"2000" "fec3" "0.230984077542958" "0.416070261537052" "0.706363159604382"
"2001" "fec3" "0.0330037893817157" "0.100647434633649" "0.199336143903458"
"2002" "fec3" "0.247856132662674" "0.452753459873765" "0.800446438468714"
"2003" "fec3" "0.0461816146224785" "0.111088564319127" "0.239308475387195"
"2004" "fec3" "0.25951919885972" "0.511189479483823" "0.938592294638174"
"2005" "fec3" "0.0698203926194963" "0.172193771782314" "0.387104612554236"
"2006" "fec3" "0.181448626964711" "0.354837349203858" "0.716679506899384"
"2007" "fec3" "0.129024525028738" "0.262197145585984" "0.463751407902872"
"2008" "fec3" "0.05436154939369" "0.134358800441042" "0.288213222058221"
"2009" "fec3" "0.113278892952566" "0.233184998305166" "0.450782857821212"
"2010" "fec3" "0.0505293261715942" "0.13278830792049" "0.263302069603766"
"2011" "fec3" "0.316713793768311" "0.520086027097463" "0.872805495868808"
"2012" "fec3" "0.0361103036490191" "0.0970830057756841" "0.203310882655802"
"2013" "fec3" "0.15540490645988" "0.294186621025863" "0.609371975744891"
"2014" "fec3" "0.117146011972053" "0.233420996333555" "0.43403354623418"
"2015" "fec3" "0.0571845923340838" "0.141970133972578" "0.274577496654282"
"2016" "fec3" "0.106251577090004" "0.259690320091268" "0.463292506761459"
"2017" "fec3" "0.0946408003913075" "0.186447317048785" "0.32263640633066"
"2018" "fec3" "0.212770868551127" "0.38595357802357" "0.650716779153508"
"2019" "fec3" "0.118056894005363" "0.25161300562597" "0.45510343728508"
"2020" "fec3" "0.0144641751971609" "0.0540084917829123" "0.141523837109672"
"1973" "fec4" "0.0941625051691264" "0.229427151138071" "0.500793697011051"
"1974" "fec4" "0.163670421941048" "0.297693702359593" "0.4964124477147"
"1975" "fec4" "0.0485559352550313" "0.134435928222454" "0.268801748372702"
"1976" "fec4" "0.179697570384963" "0.338421681325417" "0.593579470371879"
"1977" "fec4" "0.0438669024908401" "0.120419687780405" "0.269124199303877"
"1978" "fec4" "0.0392119968310566" "0.127083138895918" "0.255833303887951"
"1979" "fec4" "0.245643684029954" "0.606524395409924" "1.44291420579807"
"1980" "fec4" "0.132841398916757" "0.261957405152738" "0.612891601833768"
"1981" "fec4" "0.0892157851464289" "0.194499736019519" "0.405974036021344"
"1982" "fec4" "0.0746440766546587" "0.2132976113939" "0.365831105689548"
"1983" "fec4" "0.146589923282803" "0.266238048505367" "0.515792444860382"
"1984" "fec4" "0.0195464891533633" "0.0733888347225559" "0.180916257445647"
"1985" "fec4" "0.106333109892998" "0.277192716280117" "0.578236718225699"
"1986" "fec4" "0.167302008042368" "0.372582182023293" "0.89453619870261"
"1987" "fec4" "0.263796917128094" "0.509400193058034" "1.13317239634245"
"1988" "fec4" "0.0170175691724893" "0.0740113673991184" "0.207506201501748"
"1989" "fec4" "0.0842752385257139" "0.21395934973046" "0.412337071393973"
"1990" "fec4" "0.220838469075265" "0.418416613675373" "0.688348070548406"
"1991" "fec4" "0.0866721670901348" "0.177604246428946" "0.358785106608809"
"1992" "fec4" "0.0758455361979349" "0.207045891550969" "0.408483559152228"
"1993" "fec4" "0.0308165221980149" "0.104951148250852" "0.238453715991272"
"1994" "fec4" "0.0376540629464409" "0.119458411984985" "0.278107235890407"
"1995" "fec4" "0.154727151489162" "0.376844721734832" "0.795556399320243"
"1996" "fec4" "0.0328471270786593" "0.113759234467604" "0.253909736216217"
"1997" "fec4" "0.0603348248726451" "0.166822154939868" "0.360196057265884"
"1998" "fec4" "0.189533513452656" "0.375056954615177" "0.784510397023231"
"1999" "fec4" "0.0500880504598148" "0.147873476664615" "0.317358247616848"
"2000" "fec4" "0.219630590897396" "0.445310496285774" "0.828062321929662"
"2001" "fec4" "0.0358909241861968" "0.10713673651523" "0.227582025776828"
"2002" "fec4" "0.310905408694587" "0.53033619659769" "1.0098921587025"
"2003" "fec4" "0.0283709889462534" "0.0863379586568018" "0.228343356636679"
"2004" "fec4" "0.290968648517202" "0.59915670892706" "1.33495188559687"
"2005" "fec4" "0.0434809159106232" "0.121798161421881" "0.335109950414213"
"2006" "fec4" "0.114815498395799" "0.308848645664395" "0.599210078029788"
"2007" "fec4" "0.115153268742556" "0.287278168966257" "0.703534281061482"
"2008" "fec4" "0.0572500961341471" "0.14968224001582" "0.438362844392387"
"2009" "fec4" "0.137143545182367" "0.275958216605053" "0.586882410033592"
"2010" "fec4" "0.0459981245022394" "0.153546228117947" "0.379086039613395"
"2011" "fec4" "0.236400065908825" "0.483200226690364" "0.997129983167391"
"2012" "fec4" "0.0247684164670785" "0.0852406108831339" "0.1948601267609"
"2013" "fec4" "0.103344866479723" "0.266484312421639" "0.529137178250965"
"2014" "fec4" "0.0750537912765109" "0.225515499429273" "0.415336376885544"
"2015" "fec4" "0.0780431015760041" "0.196546189568937" "0.44442319094642"
"2016" "fec4" "0.231757867980108" "0.441614880392704" "0.801493581251826"
"2017" "fec4" "0.0985815909144571" "0.200227795761991" "0.403115513018751"
"2018" "fec4" "0.204023843843168" "0.442083630037373" "0.74833730497006"
"2019" "fec4" "0.134292968360763" "0.299962648684574" "0.569055724318124"
"2020" "fec4" "0.00857920999071653" "0.0520351390380867" "0.153810499797658"
"1973" "survi1" "0.417320592952355" "0.505284241561418" "0.599436402911775"
"1974" "survi1" "0.43984131366632" "0.531366706168857" "0.633063136144852"
"1975" "survi1" "0.395710222309214" "0.473890506852533" "0.547538051993304"
"1976" "survi1" "0.499832298665307" "0.607414087422224" "0.718004632002116"
"1977" "survi1" "0.18598684399991" "0.258025967183175" "0.334613006878176"
"1978" "survi1" "0.311729046337506" "0.40454229249977" "0.500490974831154"
"1979" "survi1" "0.491077448705057" "0.610259213029444" "0.721342730660259"
"1980" "survi1" "0.377675932089039" "0.462624838729746" "0.538682628911796"
"1981" "survi1" "0.448949514770555" "0.531798606481294" "0.615067884018921"
"1982" "survi1" "0.393493072745876" "0.493760448904068" "0.587785837093928"
"1983" "survi1" "0.444531261161371" "0.538616531385848" "0.630851123674578"
"1984" "survi1" "0.213440221388139" "0.280862541768766" "0.352789468371544"
"1985" "survi1" "0.341718890978225" "0.468718310169726" "0.603264892159647"
"1986" "survi1" "0.393844834134713" "0.49272861672898" "0.597358808850063"
"1987" "survi1" "0.575316001968172" "0.664606860312161" "0.755351681406566"
"1988" "survi1" "0.311062465859601" "0.382593842344078" "0.461707289889496"
"1989" "survi1" "0.358655197097721" "0.4867273108214" "0.600123948892293"
"1990" "survi1" "0.540990303028601" "0.637165848062732" "0.741128940517999"
"1991" "survi1" "0.368905797344135" "0.448855679978105" "0.529671031850017"
"1992" "survi1" "0.355315392585698" "0.455989823320159" "0.56458407321158"
"1993" "survi1" "0.314060231017768" "0.392498471498899" "0.48190189933672"
"1994" "survi1" "0.250147398197108" "0.337114980360379" "0.426951675591952"
"1995" "survi1" "0.515999268122005" "0.621571407166137" "0.727638136356252"
"1996" "survi1" "0.235605423154198" "0.305667750249621" "0.38891711258928"
"1997" "survi1" "0.338053380086529" "0.437190640373067" "0.537960688007711"
"1998" "survi1" "0.473635678772814" "0.581598204001197" "0.690978472666251"
"1999" "survi1" "0.328600400036848" "0.415321460514706" "0.511551551263005"
"2000" "survi1" "0.48002774302274" "0.602338201141242" "0.707774798657369"
"2001" "survi1" "0.316212703224239" "0.389914178616393" "0.47211576035906"
"2002" "survi1" "0.535368165369636" "0.636740781273831" "0.739441871714196"
"2003" "survi1" "0.162611882377837" "0.230755876981418" "0.298903156784672"
"2004" "survi1" "0.427516422832724" "0.54287030828529" "0.680219548925683"
"2005" "survi1" "0.176691345299826" "0.248686168827349" "0.326131995962266"
"2006" "survi1" "0.394811053476506" "0.519507576433561" "0.636932158688628"
"2007" "survi1" "0.436384359680889" "0.538746823860122" "0.625378105131444"
"2008" "survi1" "0.199787114172099" "0.284874839625628" "0.370592915940105"
"2009" "survi1" "0.412874617788448" "0.511662417321648" "0.605454624759485"
"2010" "survi1" "0.356144751160455" "0.448716722458147" "0.53928484655673"
"2011" "survi1" "0.490606504155581" "0.588183749426624" "0.682161271043004"
"2012" "survi1" "0.21473916230236" "0.277180544052753" "0.347434841946372"
"2013" "survi1" "0.479800096171799" "0.586667608938557" "0.702770059358874"
"2014" "survi1" "0.470505651612579" "0.578456601092375" "0.681475116554067"
"2015" "survi1" "0.440887481754666" "0.532185593526301" "0.637315718357047"
"2016" "survi1" "0.573790071169268" "0.680102542603516" "0.779903013906902"
"2017" "survi1" "0.356212411327971" "0.450044606471325" "0.545368404309663"
"2018" "survi1" "0.537977932111728" "0.642296637511809" "0.742116236580426"
"2019" "survi1" "0.479343131880535" "0.650793017083177" "0.811767141191992"
"2020" "survi1" "0.111630694531172" "0.270315157914356" "0.492675352972606"
"1973" "survi2" "0.434667104309438" "0.548917830550823" "0.651341712029054"
"1974" "survi2" "0.463180452338607" "0.589040507059218" "0.708078310261258"
"1975" "survi2" "0.416449631185247" "0.524743109947776" "0.652060634132361"
"1976" "survi2" "0.574662239984567" "0.679378005718185" "0.780913468729829"
"1977" "survi2" "0.231660779576306" "0.342958272220636" "0.479510452828711"
"1978" "survi2" "0.338979942221311" "0.461481563466918" "0.604706548844764"
"1979" "survi2" "0.553833594719853" "0.677604920099118" "0.801285709807294"
"1980" "survi2" "0.415429661486523" "0.540978800905572" "0.6706790046189"
"1981" "survi2" "0.458856557301385" "0.566838342852298" "0.682928174456875"
"1982" "survi2" "0.428016202743002" "0.542164936228611" "0.656176412146907"
"1983" "survi2" "0.378209849168543" "0.516188183089108" "0.642226773482486"
"1984" "survi2" "0.212421842835519" "0.306508084378121" "0.422817364943453"
"1985" "survi2" "0.353240038512326" "0.493237146448671" "0.620034807677796"
"1986" "survi2" "0.398114676689428" "0.551009702083067" "0.700513049324451"
"1987" "survi2" "0.518290758044152" "0.645793133910614" "0.764081084222875"
"1988" "survi2" "0.332969769661219" "0.434249217330686" "0.546145120411508"
"1989" "survi2" "0.440628863668919" "0.55131901405871" "0.658580499493176"
"1990" "survi2" "0.52035816820019" "0.675098282785151" "0.824141490124507"
"1991" "survi2" "0.376378532953518" "0.490049158253708" "0.618677538919619"
"1992" "survi2" "0.330061409186216" "0.442957675329813" "0.565735601606664"
"1993" "survi2" "0.287039790846632" "0.409416046101047" "0.533443436660298"
"1994" "survi2" "0.241754533421629" "0.346996986706196" "0.457887426878789"
"1995" "survi2" "0.510010562515841" "0.644163693832098" "0.772615667329005"
"1996" "survi2" "0.227024657755165" "0.33919193324961" "0.467654712797991"
"1997" "survi2" "0.269992340788818" "0.4190068218345" "0.550840141157255"
"1998" "survi2" "0.464467996747331" "0.598230066325298" "0.724575338261471"
"1999" "survi2" "0.287204493751536" "0.40858332728465" "0.533803949526281"
"2000" "survi2" "0.517294169940538" "0.653676436551189" "0.774619415124569"
"2001" "survi2" "0.317056677993784" "0.441109927943127" "0.58499285220671"
"2002" "survi2" "0.513013630092103" "0.633575235669474" "0.750978455435112"
"2003" "survi2" "0.142601521745927" "0.247772309643949" "0.373030482113607"
"2004" "survi2" "0.392205247229356" "0.561367019095792" "0.706273741286938"
"2005" "survi2" "0.148195537478703" "0.260913789292724" "0.370189946431299"
"2006" "survi2" "0.447834773295266" "0.58710162167993" "0.722709403242814"
"2007" "survi2" "0.479038007645798" "0.607365273262646" "0.751132954138971"
"2008" "survi2" "0.202738967732107" "0.300567560689045" "0.406322403024011"
"2009" "survi2" "0.439502040025502" "0.572622001911995" "0.723821351926677"
"2010" "survi2" "0.382160999254097" "0.498648635762789" "0.620022238967725"
"2011" "survi2" "0.461939711951449" "0.605275051582185" "0.744906975873629"
"2012" "survi2" "0.215461174532721" "0.308974029227026" "0.418186964006085"
"2013" "survi2" "0.406913677508061" "0.544233433963032" "0.666120150931833"
"2014" "survi2" "0.515406445790119" "0.639468520571738" "0.767555028113122"
"2015" "survi2" "0.393046031178097" "0.516419766138094" "0.636698816369692"
"2016" "survi2" "0.623928290322699" "0.742842268407048" "0.857201338169282"
"2017" "survi2" "0.379352897179509" "0.495904051593447" "0.613270869176273"
"2018" "survi2" "0.548892281343015" "0.675852242174943" "0.782290318106791"
"2019" "survi2" "0.511225944477028" "0.697940175332543" "0.86648953474301"
"2020" "survi2" "0.107321905457184" "0.30201322167889" "0.563745260952338"
"1973" "survi3" "0.374654741419956" "0.466127512009328" "0.577365136757947"
"1974" "survi3" "0.376051998322372" "0.476866496488113" "0.583633409278073"
"1975" "survi3" "0.353382831980724" "0.460202775628934" "0.604721784659905"
"1976" "survi3" "0.433204958539243" "0.537200739105222" "0.682524241750901"
"1977" "survi3" "0.174757530751495" "0.289016626643569" "0.407078599713716"
"1978" "survi3" "0.256347800401752" "0.384466439904955" "0.503846414932123"
"1979" "survi3" "0.385911977112337" "0.526044330486443" "0.665894747043281"
"1980" "survi3" "0.344843123291486" "0.455037402252731" "0.583215737959277"
"1981" "survi3" "0.360985400581618" "0.47647352010059" "0.611576554086018"
"1982" "survi3" "0.355715009103268" "0.454617344167165" "0.563741726261246"
"1983" "survi3" "0.335383401542702" "0.445618120082459" "0.552139211869149"
"1984" "survi3" "0.203975372957485" "0.314255447065649" "0.470016815390413"
"1985" "survi3" "0.257600214417316" "0.405656341892925" "0.540678608978751"
"1986" "survi3" "0.297023112919011" "0.441260712888003" "0.57009134889295"
"1987" "survi3" "0.383014400351048" "0.529394048346304" "0.680062724177331"
"1988" "survi3" "0.262849201797665" "0.390947145100871" "0.548043134445666"
"1989" "survi3" "0.375649431218301" "0.467564507376746" "0.588475348919718"
"1990" "survi3" "0.392586454449356" "0.533062406018846" "0.650212457895075"
"1991" "survi3" "0.314698996882917" "0.425065559378867" "0.541226216128959"
"1992" "survi3" "0.27849403978183" "0.400329709569887" "0.506027614116187"
"1993" "survi3" "0.26321323268207" "0.376887173321035" "0.511695057238714"
"1994" "survi3" "0.210194019655474" "0.332989045819177" "0.438000556491122"
"1995" "survi3" "0.421860787681311" "0.537446624636473" "0.684594747987653"
"1996" "survi3" "0.220392539502581" "0.336333774016786" "0.447113967591411"
"1997" "survi3" "0.281557962040201" "0.395872710873629" "0.533956562429171"
"1998" "survi3" "0.372335495503777" "0.498663803446271" "0.645683723898215"
"1999" "survi3" "0.270383456799012" "0.388171959711517" "0.488697877838788"
"2000" "survi3" "0.379675620164814" "0.523825749461776" "0.65049878647287"
"2001" "survi3" "0.275894952314999" "0.386675171294923" "0.510670601349238"
"2002" "survi3" "0.400407191734527" "0.5427689143559" "0.700220967052897"
"2003" "survi3" "0.161883735076416" "0.267241983367613" "0.392506581162075"
"2004" "survi3" "0.291435375851844" "0.474606607761404" "0.629803393759465"
"2005" "survi3" "0.157593694002815" "0.278270463270886" "0.409139503742341"
"2006" "survi3" "0.337091735930392" "0.469848661623726" "0.599979568906885"
"2007" "survi3" "0.330427725700638" "0.466718365388848" "0.578012835973019"
"2008" "survi3" "0.206963811188353" "0.319641277113115" "0.450542942283031"
"2009" "survi3" "0.318056343967518" "0.445323279202276" "0.571738321677462"
"2010" "survi3" "0.31606939903176" "0.427055185207667" "0.565978660941811"
"2011" "survi3" "0.351779311549601" "0.492523433118986" "0.625924476984254"
"2012" "survi3" "0.199465842785888" "0.309523752040211" "0.433483941534125"
"2013" "survi3" "0.400330965688704" "0.497541793532584" "0.644929299058305"
"2014" "survi3" "0.355711335950943" "0.488679913578095" "0.615197516392084"
"2015" "survi3" "0.384281513397584" "0.480712638917904" "0.625403833497251"
"2016" "survi3" "0.457867635807346" "0.58110296298913" "0.734665027466066"
"2017" "survi3" "0.319891477163635" "0.422687300529127" "0.533653455077716"
"2018" "survi3" "0.435474211491044" "0.557336289527671" "0.677309176860835"
"2019" "survi3" "0.430125240154557" "0.570803804805656" "0.787502253872233"
"2020" "survi3" "0.134599518726948" "0.310112778268845" "0.538200280581368"
"1973" "survi4" "0.200799156468275" "0.341747466179554" "0.574083602261307"
"1974" "survi4" "0.168162778071279" "0.300830700234508" "0.443974464227017"
"1975" "survi4" "0.20535109137431" "0.321573692693253" "0.546750214110217"
"1976" "survi4" "0.22411868006764" "0.3685413659234" "0.538490348273408"
"1977" "survi4" "0.0597403759784864" "0.160801320544851" "0.308102120385201"
"1978" "survi4" "0.0967028978547837" "0.228316552375192" "0.374075114561385"
"1979" "survi4" "0.165341878785227" "0.369654638141726" "0.601329730502371"
"1980" "survi4" "0.132218116722501" "0.287665367537304" "0.46002647009175"
"1981" "survi4" "0.243792454966195" "0.377820387609502" "0.644656211208915"
"1982" "survi4" "0.189458952345703" "0.304693950798908" "0.494249633488271"
"1983" "survi4" "0.11148340142546" "0.260023070572525" "0.39881554922843"
"1984" "survi4" "0.0483985707985754" "0.158154642345623" "0.314784049526116"
"1985" "survi4" "0.100727008941163" "0.263372357750119" "0.455766769412871"
"1986" "survi4" "0.105040175485077" "0.26893906844888" "0.42607042632657"
"1987" "survi4" "0.170147848753728" "0.357531161517967" "0.588631072718167"
"1988" "survi4" "0.0815554962175072" "0.23586512501222" "0.454002806095474"
"1989" "survi4" "0.197150445259094" "0.33570193788087" "0.541961921863204"
"1990" "survi4" "0.19790331435972" "0.357038241272498" "0.532283343399969"
"1991" "survi4" "0.175979560424387" "0.289896087477954" "0.460770984654556"
"1992" "survi4" "0.0805244473683877" "0.229262191693085" "0.363030374514922"
"1993" "survi4" "0.0796712930829823" "0.213628635713631" "0.361078231023746"
"1994" "survi4" "0.0659275380442935" "0.181546249258163" "0.337153462316934"
"1995" "survi4" "0.194339584413919" "0.3739133861176" "0.592301735907331"
"1996" "survi4" "0.0521696015204891" "0.173617654852981" "0.320325080397803"
"1997" "survi4" "0.145344013477437" "0.272116340827762" "0.498524075931052"
"1998" "survi4" "0.167978637197349" "0.334435539113733" "0.536989219319355"
"1999" "survi4" "0.0915596794881706" "0.223274213812393" "0.361738028031961"
"2000" "survi4" "0.225311486176787" "0.389583334435731" "0.634353853961192"
"2001" "survi4" "0.123837801835425" "0.243771634092043" "0.445209840986632"
"2002" "survi4" "0.19448407039779" "0.355867040971087" "0.533583399752471"
"2003" "survi4" "0.0554991148463968" "0.150579083990627" "0.323506765046149"
"2004" "survi4" "0.176554295023313" "0.353968125003512" "0.640395770434147"
"2005" "survi4" "0.0518473081637793" "0.161967269262974" "0.325542417396287"
"2006" "survi4" "0.129213491367206" "0.30628631525149" "0.491039680961759"
"2007" "survi4" "0.152069378390622" "0.320015881833115" "0.533207441213919"
"2008" "survi4" "0.0738808740022661" "0.195383367348244" "0.393264019601734"
"2009" "survi4" "0.129774435575546" "0.280311129974494" "0.433455482259411"
"2010" "survi4" "0.133806621506266" "0.280127889354854" "0.511549996378006"
"2011" "survi4" "0.123155660637577" "0.318644529999392" "0.492290139904304"
"2012" "survi4" "0.0718016130690046" "0.182853027738905" "0.349399372647413"
"2013" "survi4" "0.187764310375956" "0.356765527144698" "0.608374592753068"
"2014" "survi4" "0.165893261551256" "0.332350564982756" "0.520613212845069"
"2015" "survi4" "0.224245847304468" "0.360230392395418" "0.611930208493714"
"2016" "survi4" "0.265252931916828" "0.434444325359568" "0.637360104579926"
"2017" "survi4" "0.15631431166129" "0.277021787899741" "0.427973652710888"
"2018" "survi4" "0.301766350990933" "0.448202060513592" "0.674464996321071"
"2019" "survi4" "0.246904071260818" "0.430539724865888" "0.733023168627772"
"2020" "survi4" "0.0441217157437549" "0.181780257448246" "0.460234437729221"
