"Demog" "lCI" "Median" "uCI"
"1998" "N3" "11" "21" "34"
"1999" "N3" "14" "24" "36"
"2000" "N3" "11" "20" "30"
"2001" "N3" "15" "25" "36.0249999999999"
"2002" "N3" "7" "14" "23"
"2003" "N3" "20" "32" "43"
"2004" "N3" "4" "10" "19"
"2005" "N3" "10" "21" "34"
"2006" "N3" "5" "14" "29"
"2007" "N3" "15" "27" "45"
"2008" "N3" "13" "28" "54"
"2009" "N3" "11" "23" "37"
"2010" "N3" "10" "21" "35"
"2011" "N3" "13" "23" "33"
"2012" "N3" "18" "30" "44"
"2013" "N3" "12" "23" "36"
"2014" "N3" "18" "29" "42"
"2015" "N3" "14" "24" "39"
"2016" "N3" "19" "31" "45"
"2017" "N3" "25" "38" "53"
"2018" "N3" "15" "25" "39"
"2019" "N3" "21" "34" "48"
"2020" "N3" "22" "37" "54"
"1973" "N4" "3" "11" "27"
"1974" "N4" "30" "43" "59"
"1975" "N4" "23" "36" "51"
"1976" "N4" "19" "31" "46"
"1977" "N4" "16" "27" "41"
"1978" "N4" "10" "20" "32"
"1979" "N4" "5" "12" "21"
"1980" "N4" "8" "17" "26"
"1981" "N4" "9" "18" "28"
"1982" "N4" "9" "17" "27"
"1983" "N4" "15" "26" "37.0249999999999"
"1984" "N4" "13" "21" "32"
"1985" "N4" "3" "10" "18.0249999999999"
"1986" "N4" "3" "9" "17"
"1987" "N4" "4" "10" "18"
"1988" "N4" "3" "10" "17"
"1989" "N4" "8" "15" "24"
"1990" "N4" "13" "21" "31"
"1991" "N4" "15" "26" "37"
"1992" "N4" "6" "14" "23"
"1993" "N4" "7" "14" "24"
"1994" "N4" "8" "16" "26"
"1995" "N4" "5" "11" "20"
"1996" "N4" "8" "15" "24"
"1997" "N4" "5" "12" "20.0249999999999"
"1998" "N4" "5" "14" "24"
"1999" "N4" "9" "18" "30"
"2000" "N4" "7" "15" "25"
"2001" "N4" "9" "19" "29"
"2002" "N4" "9" "17" "28"
"2003" "N4" "8" "16" "26"
"2004" "N4" "5" "13" "21.0249999999999"
"2005" "N4" "5" "13" "25"
"2006" "N4" "4" "12" "26"
