var_log_fec1 var_log_fec2 var_log_fec3 var_log_fec4
1985 0.0636144360005326 0.0574071268823271 0.0858096074205371 0.178366560259189
1986 0.0281156167203924 0.0844772829678806 0.094411882295375 0.180990525745861
1987 0.0315154691946945 0.0386277272151501 0.101515638574261 0.13683979228105
1988 0.151190642472237 0.160589381516286 0.26156406174822 0.402850652878305
1989 0.0983686633639759 0.0692932519267793 0.0718965189094882 0.167181548005115
1990 0.0291213029099923 0.0660095443458066 0.0486322968071548 0.0854248433006437
1991 0.0761068112840522 0.0832694314484324 0.166400376077092 0.133283190375989
1992 0.0554166297823072 0.0446415518992453 0.0800976897187068 0.184836555515467
1993 0.111408753966845 0.127282511871997 0.188616877821573 0.259495227972225
1994 0.105558342418824 0.102511874645831 0.161319612427421 0.244016353307569
1995 0.0351982220755034 0.0552510997649517 0.0973698051151272 0.162679657048402
1996 0.0790288599596365 0.104194412174068 0.14590237350052 0.255930205300764
1997 0.0988127147235112 0.103098401314284 0.167847237945465 0.196865723080633
1998 0.04189330092744 0.0587655589811531 0.111302565929353 0.125809702746451
1999 0.0817154649212318 0.0793580307688974 0.123679312760909 0.211422480928758
2000 0.0461224621680926 0.0417257199565006 0.0805998376450038 0.118792896029775
2001 0.0836561863820209 0.131943882121603 0.192842066711204 0.237096078672633
2002 0.0391706665271308 0.0314161433738907 0.0870744754039195 0.0932097417588445
2003 0.110340694384847 0.130258832626333 0.184156855029555 0.265033249382344
2004 0.0267104665092851 0.0475923378844551 0.108503542642556 0.161745410711342
2005 0.0801476463479484 0.0993228635231272 0.163940927980714 0.253768331754802
2006 0.059896276601904 0.0763385135880503 0.125100609229049 0.173901544445191
2007 0.0415705105370469 0.0821488438622939 0.104514752800282 0.187263270852267
2008 0.0948569409284033 0.0978847416241621 0.180236654830803 0.251129789237596
2009 0.0562390398473925 0.0822271672272418 0.106934423950964 0.133960751102124
2010 0.106910218363691 0.12346958847477 0.179551819868466 0.265667582713064
2011 0.023490754899918 0.0393607292815268 0.0709596024469692 0.130000390241715
2012 0.0943062670373707 0.127399836189609 0.1955752395762 0.267776405444201
2013 0.0734117948090219 0.0709599160215243 0.116343989514827 0.189782196067389
2014 0.0607527520646638 0.066358602636154 0.115687931907609 0.178047451000014
2015 0.106497096187909 0.11780294977555 0.15562271327597 0.178962672986258
2016 0.0829562645510748 0.060807137458545 0.139297406434464 0.099937647936862
2017 0.0672422028520108 0.0669171898966415 0.104999844030889 0.128386823926561
2018 0.045220338809748 0.0482094667849259 0.0814690735077943 0.105487767416635
2019 0.0566057226585749 0.0813677135234643 0.121260681748052 0.139155413685572
2020 0.32131786945428 0.310155628943717 0.376935084424934 0.516224482496447
