var_logit_survival1 var_logit_survival2 var_logit_survival3 var_logit_survival4
1985 0.0734980151919027 0.0834727559364988 0.0937530519089214 0.243146738629754
1986 0.0432781429591751 0.103941992611424 0.0823121097826678 0.237029395264985
1987 0.045200479714147 0.0812436863677335 0.0855606099722718 0.212650904278918
1988 0.0281132419236938 0.0474438858332698 0.0980101058171815 0.307408211447753
1989 0.0609224464641509 0.0555743166453031 0.0478489719595391 0.145552466790704
1990 0.0533072507916862 0.130483975290997 0.0678990281210046 0.142964685154422
1991 0.0281105086638943 0.0601989704346002 0.0584877714601943 0.119503523471563
1992 0.0465796857056076 0.0576546418590902 0.0640641032416466 0.231178335111805
1993 0.0364168804356421 0.0676682056749113 0.066134384306737 0.22140946148041
1994 0.0416894429831391 0.0663351157913844 0.073312901425486 0.262953839091381
1995 0.0536067493863793 0.0883702883563679 0.0770273909986566 0.204521029792475
1996 0.032778048372977 0.0785686125986863 0.0747825823414002 0.28839487558153
1997 0.0466724134667478 0.0855638863204684 0.0713364186295019 0.188718329759714
1998 0.054294476871733 0.081597357642428 0.0742562964142308 0.188190677215736
1999 0.0371484142128574 0.0649641317961545 0.0608829060422019 0.230645048702513
2000 0.0613728949557873 0.0845481424907242 0.0758631141682737 0.18069214821153
2001 0.028442879691251 0.079214016496608 0.0609003528112414 0.173013044127338
2002 0.0559338408171095 0.0748222778519699 0.0885357378966464 0.16583334972273
2003 0.0366728825175839 0.0934046540367237 0.0926093044841177 0.287303003092151
2004 0.0662291630385001 0.114793414373935 0.126320569869996 0.280832236432569
2005 0.0410891106731301 0.101689792888425 0.111528476164074 0.296356928712848
2006 0.0619947673534444 0.0869657716872424 0.0840468580984238 0.224430972862886
2007 0.0387337864890403 0.0872014876594803 0.0643617627356632 0.209749085244473
2008 0.0462239299641684 0.0681492016001946 0.0797109068960668 0.275598075913999
2009 0.0393900537707516 0.100223336586687 0.0629287459975201 0.180809770536576
2010 0.0380378368964721 0.060001601744998 0.0666126054643406 0.20122652550715
2011 0.0410529995958523 0.0877048492615068 0.0815524165329186 0.234131208233294
2012 0.0283482287089212 0.0596941392376536 0.0766373342375706 0.234992250166611
2013 0.0577217201061489 0.0746999689008188 0.0677265747370838 0.204206918306898
2014 0.0499897377905164 0.0853474250346564 0.0674954552429779 0.164994734224889
2015 0.0425119539249302 0.0632449350023327 0.0666575822451682 0.210773988076923
2016 0.0637024360766106 0.106346395739555 0.0946566014833664 0.144262770531968
2017 0.0408839417010919 0.057920393162339 0.0487927451663231 0.118592186479151
2018 0.0499098927949889 0.0805531406310242 0.0700083594170139 0.173481953133255
2019 0.172235225438447 0.227682300939778 0.170719578642801 0.286539661707997
2020 0.275585893527674 0.358117059606989 0.257011575579128 0.537925629324653
